"ano_diagnostico","cutanea","mucosa","Gravidez/Ign","1_trimestre","2_trimestre","3_trimestre","não","Masculino","Feminino","Branca","Preta","Amarela","Parda","Indigena","Escolaridade/Ign","Analfabeto","1_4serie","5_8serie","fundamental_completo","medio_incompleto","medio_completo","superior_incompleto","superior_completo","Cura","Abandono","obitolta","obito_outra","transferencia","mudanca_diagnostico","RO","AC","AM","RR","PA","AP","TO","MA","PI","CE","RN","PB","PE","AL","SE","BA","MG","ES","RJ","SP","PR","SC","RS","MS","MT","GO","DF","Urbana","Rural","Periurbana","Autoctone?/Ign","Sim","não_auto","Indeterminado","<1 Ano","1-4 anos","5-9 anos","10-14 anos","15-19","20-39","40-59","60-64","65-69","70-79","80+","caso_novo","Recidiva","clinico_laboratorial","clinico_epidemiologico"
"2007","21405","1489","731","28","73","15","3599","16877","6042","5927","2249","361","12580","502","3780","1308","4723","4531","1605","937","853","104","161","17516","861","19","91","222","219","1040","1023","2271","377","4514","736","510","2437","161","962","8","62","486","120","6","2113","1465","124","144","420","488","80","10","109","2900","280","74","10376","11716","190","-","18454","3281","1185","258","612","1087","1689","2567","9499","5019","724","560","657","246","21787","876","19083","3837"
"2008","20285","1341","616","20","35","21","3523","15929","5868","5065","2205","255","12495","472","4370","1312","4805","3932","1297","839","934","135","189","16142","710","18","108","282","200","1006","1077","1896","392","3800","709","430","1759","128","900","7","66","421","93","10","3355","1237","90","72","421","575","104","10","147","2672","382","42","9118","11877","177","1","17942","2867","991","295","634","1021","1624","2338","8794","5033","662","535","627","231","20264","1119","18122","3678"
"2009","21809","1435","529","18","29","16","3917","16926","6321","5414","2419","250","13210","662","4685","1437","5179","4078","1266","1039","1176","134","260","17114","542","16","119","273","242","1109","1021","1537","515","3449","579","646","1733","131","1043","60","124","544","79","18","3569","1137","117","112","440","446","38","9","118","4126","499","49","9917","12445","135","-","19072","2891","1285","308","716","1078","1695","2323","9464","5366","751","598","681","262","21875","1088","19169","4079"
"2010","22304","1447","469","14","29","24","4418","16924","6850","4888","2681","289","14156","530","5219","1570","5274","4023","1167","1038","1270","105","245","17668","488","18","116","235","221","1010","1159","1247","685","2554","549","605","2614","196","1082","83","83","453","39","7","4996","2085","139","112","382","280","18","7","111","2561","631","86","9484","13414","132","-","19818","2693","1263","309","718","1091","1810","2570","9320","5507","824","571","709","315","22287","1114","19569","4205"
"2011","21563","1369","332","15","30","20","4466","16269","6666","4116","2688","295","14268","804","5326","1509","4977","3771","1183","1042","1316","139","238","17292","522","20","118","242","233","735","983","2379","271","3862","588","445","2934","190","827","12","31","465","36","10","3954","1843","141","84","290","358","11","5","112","1960","359","51","9166","13072","117","-","18964","2568","1404","285","589","1134","1829","2412","9007","5281","801","582","726","285","21406","1177","18570","4366"
"2012","23749","1449","367","14","24","21","4582","18171","7022","4472","2563","239","16263","863","5413","1480","5730","4399","1372","1255","1689","162","305","17810","557","18","93","243","210","1247","1235","2359","553","4245","826","514","2579","131","978","6","75","363","70","8","4552","1084","117","53","336","448","13","7","160","2817","370","55","10105","14206","164","1","20778","2962","1460","328","667","1227","2022","2826","9855","5805","852","626","679","306","23593","1257","21234","3967"
"2013","18478","1179","272","14","15","19","3342","14561","5095","3845","1923","213","12429","653","4009","1156","4186","3508","1026","1196","1595","164","301","13803","505","23","106","214","191","1281","1030","1543","618","3195","852","554","1857","106","521","9","40","246","52","3","2874","885","100","35","330","316","21","6","149","2597","409","29","8581","10284","172","-","15773","2565","1320","272","422","829","1398","2060","8014","4536","690","499","664","266","18310","1003","16250","3408"
"2014","20774","1218","326","14","27","15","3788","16250","5741","4126","1907","244","14097","758","5333","1122","4273","3825","1173","1283","1782","155","341","14352","376","22","93","207","229","1254","1164","1926","531","4443","1132","710","2167","117","577","9","37","245","32","7","2198","1207","102","33","393","399","18","8","170","2452","602","59","9765","11351","163","1","17399","3058","1534","298","467","841","1559","2309","8849","5356","788","526","712","282","20437","1144","18210","3782"
"2015","19407","1293","281","15","22","16","3686","15093","5606","4303","1717","167","12960","744","4786","1118","3822","3580","1134","1246","1794","165","380","15335","466","12","106","177","240","1114","1150","1696","597","3761","591","617","1745","76","586","5","79","444","186","4","2368","1352","141","33","476","525","18","5","148","2392","536","58","8967","10914","126","-","16737","2472","1494","273","436","779","1408","2034","7891","5334","850","659","746","290","19370","1014","17035","3668"
"2016","13009","935","169","8","14","8","2533","10142","3806","2961","1093","122","8791","518","3079","667","2426","2481","785","887","1413","140","284","9548","452","11","81","121","282","978","981","896","199","1795","828","243","1054","45","397","4","27","257","40","2","1929","1163","123","32","348","289","15","7","115","1839","299","43","6254","7181","105","1","11189","1726","1032","163","358","516","851","1430","5274","3513","600","471","553","219","12954","791","11070","2878"
